day,instrument,side,entry_time,entry_price,exit_time,exit_price,qty,exit_reason,r_multiple,pnl_usd,entry_atr_ticks,scaled
2024-09-03,MES,SHORT,2024-09-03 13:00:00-04:00,5570.50,2024-09-03 15:00:00-04:00,5543.25,2,SESSION_FLATTEN,0.653,269.54,111.3,False
2024-09-05,MES,SHORT,2024-09-05 12:00:00-04:00,5493.75,2024-09-05 15:00:00-04:00,5515.25,2,SESSION_FLATTEN,-0.528,-217.96,108.7,False
2024-09-06,MES,SHORT,2024-09-06 12:00:00-04:00,5421.50,2024-09-06 15:00:00-04:00,5420.75,2,SESSION_FLATTEN,0.016,4.54,125.4,False
2024-09-09,MES,SHORT,2024-09-09 12:00:00-04:00,5477.75,2024-09-09 15:00:00-04:00,5479.25,2,SESSION_FLATTEN,-0.033,-17.96,122.0,False
2024-09-10,MES,SHORT,2024-09-10 12:00:00-04:00,5456.00,2024-09-10 15:00:00-04:00,5504.75,2,SESSION_FLATTEN,-1.157,-490.46,112.3,False
2024-09-12,MES,LONG,2024-09-12 12:00:00-04:00,5558.25,2024-09-12 13:00:00-04:00,5604.00,1,SCALE_OUT,0.000,228.01,126.1,True
2024-09-12,MES,LONG,2024-09-12 12:00:00-04:00,5558.25,2024-09-12 15:00:00-04:00,5603.25,2,SESSION_FLATTEN,0.988,450.79,126.1,True
2024-09-13,MES,LONG,2024-09-13 12:00:00-04:00,5637.75,2024-09-13 15:00:00-04:00,5630.00,2,SESSION_FLATTEN,-0.182,-80.46,113.4,False
2024-09-18,MES,LONG,2024-09-18 13:00:00-04:00,5705.25,2024-09-18 15:00:00-04:00,5680.50,3,SESSION_FLATTEN,-0.788,-375.69,85.7,False
2024-09-19,MES,LONG,2024-09-19 13:00:00-04:00,5783.50,2024-09-19 15:00:00-04:00,5777.50,2,SESSION_FLATTEN,-0.132,-62.96,121.7,False
2024-09-24,MES,LONG,2024-09-24 12:00:00-04:00,5785.75,2024-09-24 15:00:00-04:00,5792.50,2,SESSION_FLATTEN,0.187,64.54,96.0,False
2024-09-30,MES,LONG,2024-09-30 12:00:00-04:00,5792.00,2024-09-30 14:00:00-04:00,5769.25,4,STOP,-1.011,-460.83,64.0,False
